year,name,actual_time
1905,Cornelius Connelly,1:04:22
1906,John G Hassard,0:49:55
1907,Otto Boeddiker,0:53:35
1908,Otto Boeddiker,0:51:45
1909,Otto Boeddiler,0:51:46
1910,Mason Hartwell,0:52:43
1911,Mason Hartwell,0:52:01
1912,Mason Hartwell,0:47:56
1913,O J Millard,0:51:18
1914,Oliver Millard,0:49:30
1915,Mason Hartwell,0:50:40
1916,Walter H Jones,0:51:18
1917,Mason Hartwell,0:51:39
1918,William Howden,0:54:38
1919,William J Churchill,0:50:14
1920,Mason J Hartwell,0:49:57
1921,William J Churchill,0:50:40
1922,William J Churchill,0:53:55
1923,Paul Nieman,0:51:01
1924,William Westergaard,0:51:39
1925,William Westergaard,0:52:00
1926,Mason Hartwell,0:52:53
1927,Andy Myyra,0:53:03
1928,John Cassidy,0:50:54
1929,William Frazer,0:52:23
1930,William Fraser,0:51:35
1931,Bill Pappas,0:50:40
1934,Leo Karlhofer,0:51:39
1935,Norman Bright,0:52:53
1936,George Wilson,0:53:09
1937,Norman Bright,0:47:22
1938,Leo Karlhofer,0:49:15
1939,Clarence Hall,0:50:35
1940,Jack G Kirk,0:55:20
1941,William McCurdy,0:54:18
1946,William Steed,0:52:55
1947,George Cole,0:55:06
1948,Rae Workman,0:52:02
1949,William Steed,0:52:15
1950,Joe Kragel,0:51:32
1951,Paul Juette,0:53:34
1952,Walt Deike,0:51:45
1953,Paul Juette,0:53:59
1954,Len Thorton,0:54:30
1955,Wilford King,0:51:08
1956,Jack Marden,0:55:01
1957,Wildred King,0:52:00
1958,Fernando Leon,0:51:15
1959,Fernando Leon,0:49:57
1960,Bob Hope,0:47:41
1961,Darryl Beardall,0:49:09
1962,Peter Joseph McArdle,0:47:30
1963,Darryl Beardall,0:48:02
1964,Bill Morgan,0:47:29
1965,Roy Hughes,0:50:05
1966,Carl Jensen,0:48:57
1967,Robert (Bob) D Bunnell,0:48:01
1968,Byron J Lowery,0:47:51
1969,Byron Lowry,0:47:39
1970,Don L Makela,0:46:42
1971,Ron F Elijah,0:46:08
1972,Tom H Hale,0:46:47
1973,Ron E Elijah,0:49:11
1974,Ron E Elijah,0:44:49
1975,Byron J Lowry,0:48:17
1976,Robert (Bob) D Bunnell,0:48:03
1977,Homer R Latimer,0:47:56
1978,Homer R Latimer,0:49:00
1979,Joseph Ryan,0:49:34
1980,Joe D Ryan,0:48:37
1981,Rod R Berry,0:46:48
1982,Hal H Kissin Roy,0:49:09
1983,Rod Berry,0:47:33
1984,Rod Berry,0:49:16
1985,Sal  Vasquez,0:49:56
1986,Mike G McManus,0:49:53
1987,Mike G McManus,0:48:21
1988,Mike G McManus,0:49:14
1989,Phillip E Bellan,0:48:39
1990,Mike G McManus,0:47:59
1991,Mike G McManus,0:46:53
1992,Mike G McManus,0:47:18
1993,Dave Dunham,0:48:24
1994,Dave Dunham,0:47:49
1995,Dave Dunham,0:47:36
1996,Ken Keyte,0:51:55
1997,Bruce Mace,0:50:59
1998,Mike G McManus,0:49:17
1999,Bill Bushnell,0:49:48
2001,Christopher Phipps,0:49:27
2002,Brian Purcell,1:00:00
2003,Roy Kissin,1:00:17
2004,Jerry Edelbrock,1:00:21
2005,Joe Griffin,1:00:07
2006,Mark McManus,0:49:33
2007,John	McGrath,1:00:07
2008,Mark McManus,0:50:33
2009,Alex		Varner,0:49:26
2010,Alexander Varner,0:48:54
2011,Sarah		Bamberger,1:00:05
2012,Alex		Varner,0:49:00
2013,Alex		Varner,0:47:59
2014,*	Alex		Varner,0:49:08
2015,*	John	 	Hudson,1:00:00
2016,*	Gus	 	Gibbs,0:49:22
2017,Patrick Hauke,50:28.68
2018, Alex Varner,48:51.35
2019,Alex Varner,49:29.03
2021, Edward Owens,47:47.59  
2022,Edward Owens,0:48:34.83 
2023,Paddy O'Leary,49:22.86 
2024,Edward Owens,49:55.91 